timestamp,model,is_final,seed,wikitext2_ppl_qat-1b-int4,fp16_ppl_qat-1b-int4,degradation_qat-1b-int4,qat_time_qat-1b-int4,elapsed_qat-1b-int4,wikitext2_ppl_qat-1b-int3,fp16_ppl_qat-1b-int3,degradation_qat-1b-int3,qat_time_qat-1b-int3,elapsed_qat-1b-int3,wikitext2_ppl_qat-1b-int2,fp16_ppl_qat-1b-int2,degradation_qat-1b-int2,qat_time_qat-1b-int2,elapsed_qat-1b-int2,wikitext2_ppl_qat-gpt2-int4,fp16_ppl_qat-gpt2-int4,degradation_qat-gpt2-int4,qat_time_qat-gpt2-int4,elapsed_qat-gpt2-int4,wikitext2_ppl_qat-gpt2-int3,fp16_ppl_qat-gpt2-int3,degradation_qat-gpt2-int3,qat_time_qat-gpt2-int3,elapsed_qat-gpt2-int3,wikitext2_ppl_qat-gpt2-int2,fp16_ppl_qat-gpt2-int2,degradation_qat-gpt2-int2,qat_time_qat-gpt2-int2,elapsed_qat-gpt2-int2
2026-04-27T00:28:28.121495+00:00,baseline:finetune_then_ptq,true,42,12.6094,13.2033,-0.5939,2699.1,2821,31.4101,13.2033,18.2068,2698.3,2821,94034.5078,13.2033,94021.3045,2751.1,2875,,,,,,,,,,,,,,,
2026-04-27T00:39:19.882663+00:00,baseline:lsq,true,42,12.167,13.2033,-1.0363,3006.0,3134,13.4947,13.2033,0.2915,3003.2,3132,19.4969,13.2033,6.2936,3018.8,3148,,,,,,,,,,,,,,,
2026-04-26T22:03:08.027369+00:00,baseline:no_qat,true,42,15.0101,13.2033,1.8068,0.0,122,42.54,13.2033,29.3367,0.0,121,104422.6562,13.2033,104409.453,0.0,121,,,,,,,,,,,,,,,
2026-04-27T00:32:13.938669+00:00,baseline:ste,true,42,11.7044,13.2033,-1.4989,2949.7,3090,13.7471,13.2033,0.5438,2914.1,3052,72.5517,13.2033,59.3484,2911.0,3051,,,,,,,,,,,,,,,
2026-04-28T18:18:03.442140+00:00,baseline:pact,true,42,15.2506,13.2033,2.0473,1230.2,1293,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27T00:46:25.058283+00:00,baseline:stableqat,true,42,11.7229,13.2033,-1.4803,3031.5,3162,13.7579,13.2033,0.5546,3031.2,3161,47.764,13.2033,34.5608,3029.2,3160,,,,,,,,,,,,,,,
2026-04-28T18:01:03.268151+00:00,baseline:adaround,true,42,12.6356,13.2033,-0.5677,1419.9,1488,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-29T17:14:38.586803+00:00,baseline:lr_qat,true,42,21.4995,13.2033,8.2963,900.9,958,38.7873,13.2033,25.584,900.2,957,379.882,13.2033,366.6788,899.7,957,,,,,,,,,,,,,,,
2026-05-01T12:28:21.047187+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,12.2073,13.2033,-0.996,1229.7,1290,13.4907,13.2033,0.2874,1232.8,1293,19.5041,13.2033,6.3008,1235.0,1295,,,,,,,,,,,,,,,
2026-05-03T07:45:15.774492+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,12.2073,13.2033,-0.996,1229.7,1290,13.4907,13.2033,0.2874,1232.8,1293,19.5041,13.2033,6.3008,1235.0,1295,,,,,,,,,,,,,,,
