timestamp,model,is_final,seed,niah_acc,niah_density,niah_time,elapsed_niah_8k,qasper_f1,qasper_density,qasper_time,elapsed_longbench_qasper,multifieldqa_f1,multifieldqa_density,multifieldqa_time,elapsed_longbench_multifieldqa_en,pg19_ppl,pg19_density,pg19_time,elapsed_pg19_ppl_8k
2026-04-27T04:16:12.224639+00:00,baseline:bigbird,true,42,0.2,0.2601,1659.3,1669,0.0871,0.2421,1331.4,1347,0.2298,0.2693,5273.2,5283,,,,
2026-04-27T09:12:28.318874+00:00,baseline:block_topk,true,42,0.26,0.242,1379.3,1396,0.1082,0.2291,1346.0,1354,0.2074,0.2331,5816.7,5830,,,,
2026-04-30T17:10:57.076879+00:00,baseline:dense,true,42,1.0,1.0,76.9,89,0.1406,1.0,102.2,114,0.3447,1.0,291.3,304,,,,
2026-04-30T06:35:08.497327+00:00,baseline:flexprefill,true,42,0.14,0.1975,583.6,595,0.0668,0.2408,842.8,854,0.0933,0.2322,2731.1,2744,,,,
2026-04-27T06:14:40.659300+00:00,baseline:h2o,true,42,0.02,0.2184,2005.0,2013,0.0181,0.2143,2137.9,2152,,,,,,,,
2026-04-27T04:52:29.674147+00:00,baseline:snapkv,true,42,0.0,0.2266,1961.6,1970,0.0134,0.2526,2221.5,2234,0.0132,0.256,6087.8,6102,,,,
2026-04-26T21:16:24.654111+00:00,baseline:streaming_llm,true,42,0.2,0.2344,1742.5,1751,0.1103,0.2344,1669.4,1678,0.213,0.2344,4567.9,4578,,,,
2026-05-02T04:13:44.644402+00:00,claude-opus-4-6,false,42,1.0,0.2233,1277.7,1289,0.147,0.2232,1251.1,1263,0.252,0.2277,2662.5,2675,,,,
2026-05-02T05:24:44.405629+00:00,claude-opus-4-6,false,42,0.2,0.2555,432.6,442,0.1544,0.2539,419.6,431,0.2577,0.2549,1549.2,1564,,,,
2026-05-02T05:24:49.079987+00:00,claude-opus-4-6,true,42,1.0,0.2233,1277.7,1289,0.147,0.2232,1251.1,1263,0.252,0.2277,2662.5,2675,,,,
2026-05-02T04:12:21.139442+00:00,gemini/gemini-3.1-pro-preview,false,42,1.0,0.2499,2610.8,2623,0.1434,0.2498,2364.1,2375,0.2288,0.2331,1418.0,1427,,,,
2026-05-02T05:28:03.673684+00:00,gemini/gemini-3.1-pro-preview,false,42,0.44,0.2419,447.4,456,0.1228,0.2284,440.0,452,0.228,0.2344,1737.8,1749,,,,
